n_files,file_name,shape,fold,seed,score
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",0,1234,3.6649514659161233
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",1,1234,3.6368945854908827
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",2,1234,3.7222711821451315
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",3,1234,3.874888937253632
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",4,1234,3.3840730751290384
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",5,1234,3.8365742840988455
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",6,1234,3.561976092075051
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",7,1234,3.8504975595740993
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",8,1234,3.7594698258898873
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",9,1234,3.6855935798105874
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",10,1234,3.7038887412546835
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",11,1234,4.049890799171363
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",12,1234,3.8934085784064902
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",13,1234,3.365717138076189
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",14,1234,3.7645721624804547
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",15,1234,3.781259985705717
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",16,1234,3.566359227231771
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",17,1234,3.6152755585852145
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",18,1234,3.713051340312901
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",19,1234,3.6799612356950187
0,5a0546857ecc773753327266_train.csv,"(9296, 3401)",999,1234,3.705555388596074
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",0,1234,4.698867859461602
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",1,1234,4.343222556494959
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",2,1234,4.698102455592398
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",3,1234,5.2435782090672385
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",4,1234,4.508435949826468
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",5,1234,4.777827082515113
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",6,1234,4.808699387832433
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",7,1234,4.8625206423830925
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",8,1234,5.0373746496160825
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",9,1234,4.716460776477525
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",10,1234,4.681877184139198
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",11,1234,4.6811360240255855
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",12,1234,4.545723898333387
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",13,1234,4.500789559227043
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",14,1234,4.527553910606495
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",15,1234,4.795191007118296
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",16,1234,4.831180430323012
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",17,1234,4.801972721142771
1,5c3c44b80379370013e0fd2b_train.csv,"(9737, 3067)",18,1234,4.828945666717517
